Company Name,Address,Status
 Aafi Goencar Taxi Private Limited ,"North Goa, Goa, India",ACTIVE
 Unbutton Clothing (Opc) Private Limited ,"Ranchi, Jharkhand, India",ACTIVE
 Devdevaay Kripa Foundation ,"North West Delhi, Delhi, India",ACTIVE
 Baba Dandeshwar Construction Private Limited ,"Sultanpur, Uttar Pradesh, India",ACTIVE
 Redux Multitrading Private Limited ,Unreported,ACTIVE
 Rimson Housing Developers Private Limited ,"North West Delhi, Delhi, India",ACTIVE
 Mathurai Krushi Producer Company Limited ,"Beed, Maharashtra, India",ACTIVE
 Spectrax Fabrics Private Limited ,"Hyderabad, Telangana, India",ACTIVE
 Edignite Foundation ,"Pune, Maharashtra, India",ACTIVE
 Sky Jet Fuels Private Limited ,"Jaipur, Rajasthan, India",ACTIVE
 Trotter Media (Opc) Private Limited ,"Kolkata, West Bengal, India",ACTIVE
 Svajana Foundation ,"Katihar, Bihar, India",ACTIVE
 Develophile Social Foundation ,"East Delhi, Delhi, India",ACTIVE
 Satvijay Fabrics Private Limited ,"Lucknow, Uttar Pradesh, India",ACTIVE
 Rgobm Media Private Limited ,"Gurgaon, Haryana, India",ACTIVE
 Pawar Renewergy Solutions Private Limited ,"Gulbarga, Karnataka, India",ACTIVE
 Hexatom Tech Solutions Private Limited ,"Pune, Maharashtra, India",ACTIVE
 Mountainfotech Services Private Limited ,"Kaushambi, Uttar Pradesh, India",ACTIVE
 R.Keshav Das Foundation ,"Hyderabad, Telangana, India",ACTIVE
 Nakachari Farmer Producer Company Limited ,"Jorhat, Assam, India",ACTIVE
 Humma Dairy And Agro Ventures Private Limited ,"Khorda, Odisha, India",ACTIVE
 Garud Guard Fource Private Limited ,"Solapur, Maharashtra, India",ACTIVE
 Heft Research Hub Private Limited ,"Thiruvananthapuram, Kerala, India",ACTIVE
 Furnivex Interior Private Limited ,"Sonitpur, Assam, India",ACTIVE
 Excellence Staffing India Private Limited ,"Gurgaon, Haryana, India",ACTIVE
 Jayka Vehicle Systems Private Limited ,"Pune, Maharashtra, India",ACTIVE
 Sor7ed Strategies Private Limited ,"Raipur, Chattisgarh, India",ACTIVE
